time	V(n002)
1.965599999999957e+001	2.575634e+000
1.970000000000000e+001	2.575864e+000
1.974479999999966e+001	2.576048e+000
1.980000000000000e+001	2.576033e+000
2.000000000000000e+001	2.575454e+000
2.003000000000000e+001	2.575549e+000
2.007000000000000e+001	2.575914e+000
2.010000000000000e+001	2.576317e+000
2.015600000000000e+001	2.577006e+000
2.020640000000000e+001	2.577328e+000
2.024480000000000e+001	2.577291e+000
2.030000000000000e+001	2.577049e+000
2.032857142857143e+001	2.576853e+000
2.035714285714286e+001	2.576670e+000
2.038571428571429e+001	2.576500e+000
2.041428571428572e+001	2.576343e+000
2.044285714285714e+001	2.576199e+000
2.047142857142857e+001	2.576068e+000
2.050000000000000e+001	2.575950e+000
2.057000000000000e+001	2.576012e+000
2.060000000000000e+001	2.576150e+000
2.065600000000000e+001	2.576297e+000
2.070000000000000e+001	2.576231e+000
2.074480000000000e+001	2.576181e+000
2.080000000000000e+001	2.576342e+000
2.085600000000002e+001	2.576455e+000
2.090000000000000e+001	2.576365e+000
2.100000000000000e+001	2.575926e+000
2.105599999999957e+001	2.575541e+000
2.110000000000000e+001	2.575106e+000
2.114479999999966e+001	2.574754e+000
2.120000000000000e+001	2.574587e+000
2.150000000000000e+001	2.574795e+000
2.157000000000000e+001	2.575108e+000
2.160000000000000e+001	2.575341e+000
2.165600000000000e+001	2.575632e+000
2.170000000000000e+001	2.575665e+000
2.174480000000000e+001	2.575697e+000
2.180000000000000e+001	2.575947e+000
2.190000000000000e+001	2.576601e+000
2.194480000000002e+001	2.576679e+000
2.200000000000000e+001	2.576548e+000
2.205599999999957e+001	2.576460e+000
2.210000000000000e+001	2.576566e+000
2.214479999999966e+001	2.576649e+000
2.220000000000000e+001	2.576524e+000
2.225600000001026e+001	2.576440e+000
2.230000000000000e+001	2.576549e+000
2.234480000000821e+001	2.576635e+000
2.240000000000000e+001	2.576512e+000
2.245599999975362e+001	2.576430e+000
2.250000000000000e+001	2.576541e+000
2.270000000000000e+001	2.577353e+000
2.275600000591317e+001	2.577286e+000
2.280000000000000e+001	2.577072e+000
2.284480000473054e+001	2.576901e+000
2.290000000000000e+001	2.576931e+000
2.310000000000000e+001	2.577542e+000
2.317000000000000e+001	2.577379e+000
2.320000000000000e+001	2.577203e+000
2.330000000000000e+001	2.576512e+000
2.334480000000000e+001	2.576421e+000
2.340000000000000e+001	2.576539e+000
2.360000000000000e+001	2.577351e+000
2.363000000000000e+001	2.577277e+000
2.367000000000000e+001	2.576940e+000
2.370000000000000e+001	2.576555e+000
2.372400000000000e+001	2.576260e+000
2.375600000000000e+001	2.576097e+000
2.380000000000000e+001	2.576115e+000
2.390000000000000e+001	2.576719e+000
2.395600000000002e+001	2.576765e+000
2.400000000000000e+001	2.576629e+000
2.410000000000000e+001	2.576110e+000
2.412399999999982e+001	2.576110e+000
2.415599999999957e+001	2.576303e+000
2.420000000000000e+001	2.576772e+000
2.421919999999985e+001	2.577007e+000
2.424479999999966e+001	2.577148e+000
2.430000000000000e+001	2.577126e+000
2.435600000001032e+001	2.576935e+000
2.440000000000000e+001	2.576970e+000
2.450000000000000e+001	2.577317e+000
2.455599999975247e+001	2.577257e+000
2.460000000000000e+001	2.577048e+000
2.464479999980198e+001	2.576880e+000
2.470000000000000e+001	2.576914e+000
2.490000000000000e+001	2.577533e+000
2.497000000000000e+001	2.577373e+000
2.500000000000000e+001	2.577197e+000
2.505600000000000e+001	2.576993e+000
2.510000000000000e+001	2.577020e+000
2.514480000000000e+001	2.577037e+000
2.520000000000000e+001	2.576841e+000
2.530000000000000e+001	2.576259e+000
2.534479999999997e+001	2.576205e+000
2.540000000000000e+001	2.576362e+000
2.550000000000000e+001	2.576891e+000
2.554480000000057e+001	2.576928e+000
2.560000000000000e+001	2.576752e+000
2.562857142857143e+001	2.576583e+000
2.565714285714286e+001	2.576425e+000
2.568571428571429e+001	2.576279e+000
2.571428571428572e+001	2.576144e+000
2.574285714285714e+001	2.576020e+000
2.577142857142857e+001	2.575907e+000
2.580000000000000e+001	2.575805e+000
2.587000000000000e+001	2.575898e+000
2.590000000000000e+001	2.576048e+000
2.600000000000000e+001	2.576672e+000
2.604480000000000e+001	2.576740e+000
2.610000000000000e+001	2.576598e+000
2.630000000000000e+001	2.575730e+000
2.637000000000000e+001	2.575840e+000
2.642400000000000e+001	2.576216e+000
2.650000000000000e+001	2.577148e+000
2.651920000000000e+001	2.577516e+000
2.654480000000000e+001	2.578179e+000
2.660000000000000e+001	2.579942e+000
2.662400000000003e+001	2.580540e+000
2.665600000000007e+001	2.580685e+000
2.670000000000000e+001	2.580194e+000
2.671920000000002e+001	2.579703e+000
2.674480000000006e+001	2.579250e+000
2.680000000000000e+001	2.578657e+000
2.682399999999931e+001	2.578711e+000
2.685599999999838e+001	2.578969e+000
2.690000000000000e+001	2.579521e+000
2.691919999999944e+001	2.579756e+000
2.694479999999870e+001	2.579824e+000
2.700000000000000e+001	2.579507e+000
2.705600000003896e+001	2.578894e+000
2.710640000000446e+001	2.578631e+000
2.714480000003117e+001	2.578704e+000
2.720000000000000e+001	2.578993e+000
2.722399999959922e+001	2.579085e+000
2.725599999906484e+001	2.579004e+000
2.730000000000000e+001	2.578676e+000
2.734479999925188e+001	2.578273e+000
2.740800000320624e+001	2.578064e+000
2.745600002244369e+001	2.578269e+000
2.750000000000000e+001	2.578586e+000
2.751920000769498e+001	2.578672e+000
2.754480001795495e+001	2.578559e+000
2.760000000000000e+001	2.577884e+000
2.762399976915062e+001	2.577483e+000
2.765599946135145e+001	2.577191e+000
2.770000000000000e+001	2.577045e+000
2.780000000000000e+001	2.577370e+000
2.780800184679504e+001	2.577381e+000
2.785601292756528e+001	2.577300e+000
2.790000000000000e+001	2.577084e+000
2.794481034205222e+001	2.576911e+000
2.800795567691905e+001	2.576981e+000
2.810000000000000e+001	2.577808e+000
2.811909362460573e+001	2.577974e+000
2.814455179074670e+001	2.578035e+000
2.820000000000000e+001	2.577850e+000
2.826344627759903e+001	2.577511e+000
2.830725100315418e+001	2.577503e+000
2.835075702207923e+001	2.577758e+000
2.840000000000000e+001	2.578184e+000
2.844060561766338e+001	2.578484e+000
2.850000000000000e+001	2.578624e+000
2.890000000000000e+001	2.578243e+000
2.897000000000000e+001	2.578507e+000
2.900000000000000e+001	2.578722e+000
2.905600000000000e+001	2.578984e+000
2.910000000000000e+001	2.578998e+000
